month,BUMTHANG,CHUKHA,DAGANA,HAA,LHUENTSE,MONGAR,PARO,PEMAGATSHEL,PUNAKHA,SAMDRUPJONGKHAR,SAMTSE,SARPANG,THIMPHU,TRASHIGANG,TRASHIYANGTSE,TRONGSA,TSIRANG,WANGDUE PHODRANG,ZHEMGANG
1,0.23306581636363635,1.4864076609090908,0.037273904545454546,0.08188727272727273,0.07052191727272727,0.35116920727272727,0.20610186545454548,0.10778145454545453,0.25113930181818184,0.3062541672727273,0.14957591272727272,0.42597549,14.01782989,0.20877347363636362,0.13868854181818183,0.14179745272727273,0.15580677636363635,0.35301752454545454,0.10754699545454546
2,0.21436009454545457,1.45705985,0.03543363636363636,0.07538245454545454,0.062320181818181816,0.3510640272727273,0.19433092636363636,0.10667265454545455,0.22282419545454546,0.30476159636363637,0.1480449618181818,0.41025151000000004,14.321317031818182,0.20474932,0.1341954927272727,0.13090754545454544,0.14951346181818181,0.32890675545454545,0.09816700454545456
3,0.20253999999999997,1.3527302663636365,0.03402954545454546,0.07568254545454546,0.05600381818181818,0.29523410363636365,0.1612181609090909,0.09256098181818183,0.18547216727272728,0.26031671545454543,0.13601446454545454,0.385992,11.797805268727274,0.1819845690909091,0.12291023818181818,0.12234594363636364,0.1342275890909091,0.26590220999999997,0.09405970636363636
4,0.20554532363636363,1.4550341136363636,0.029441363636363637,0.07712509090909091,0.052063506363636367,0.27139218181818187,0.15526972727272728,0.08605845454545455,0.16337009727272725,0.31072453818181817,0.15882269727272727,0.464866125,10.032374253818181,0.17502122636363637,0.11604345454545455,0.11450870363636363,0.11487444545454545,0.22416097545454547,0.08967226636363636
5,0.2040628690909091,1.39849154,0.023067,0.07388027272727272,0.04635313454545454,0.23711007363636363,0.123145,0.080693,0.16203268545454547,0.34466765,0.17045758545454545,0.4807295,7.773843104272728,0.1541986090909091,0.10562682818181819,0.09359262545454544,0.09011065272727273,0.21016122272727272,0.08127639272727273
6,0.19108517000000003,1.4528883981818181,0.021981454545454547,0.06824809090909091,0.043622500909090915,0.22931865272727273,0.11176463636363637,0.09389072727272728,0.15816578363636363,0.3636893690909091,0.18203626,0.5468515,6.511159407363636,0.15313792090909092,0.09811263636363637,0.08574327363636364,0.08950164272727273,0.2169580927272727,0.08000564454545454
7,0.1790086481818182,1.4875440954545454,0.021440727272727274,0.06048236363636363,0.04606716727272728,0.24828065,0.10165418181818181,0.09949292454545455,0.1718433390909091,0.4194918345454546,0.20299218000000002,0.613194125,5.621413534181818,0.1553580890909091,0.08231835,0.07782845636363636,0.08824815909090909,0.23421146636363635,0.08359529727272728
8,0.17286531272727274,1.5290176118181817,0.021184545454545456,0.0567888,0.0649911490909091,0.2517409018181818,0.08809111272727273,0.0990788090909091,0.15947244363636365,0.42828333727272727,0.19756926454545454,0.59661451875,5.7389842885454545,0.15547346454545455,0.09087359272727273,0.07049773363636364,0.08533410909090909,0.23055730727272727,0.08214895090909091
9,0.17481624272727272,1.5306728081818184,0.022357945454545454,0.058461885454545455,0.048335067272727274,0.24877164545454544,0.09354779181818182,0.10402227272727273,0.16763761636363636,0.4355603363636364,0.20923477636363638,0.62335525,5.799017077727273,0.1625754118181818,0.09099668272727274,0.08004971545454545,0.08706654181818183,0.23103706454545456,0.0848821890909091
10,0.1826119890909091,1.5454873727272727,0.02166724090909091,0.0634060509090909,0.04649665636363636,0.24772978454545455,0.09855585454545455,0.09998500909090909,0.1612272590909091,0.41657190727272725,0.2037211781818182,0.57576701,6.030489861272727,0.1547876390909091,0.09326688545454545,0.07233800272727273,0.08557706272727274,0.22871456272727275,0.08127233636363637
11,0.2155773390909091,1.4298222490909092,0.02428836363636364,0.07956454545454546,0.04912514727272727,0.24410421636363636,0.12577827272727274,0.09106745454545453,0.1551205718181818,0.34618091272727275,0.1778369509090909,0.49830625,9.090359899636363,0.15249789727272728,0.09932500000000001,0.09346045454545454,0.09164000454545454,0.21285835727272726,0.08271626636363637
12,0.2327198390909091,1.3821298472727273,0.02999909090909091,0.08454172727272727,0.05508911727272727,0.30807199636363636,0.16646322909090908,0.09337745454545456,0.17623098272727272,0.2768290536363636,0.15397673272727272,0.405024625,12.57944174,0.1819998509090909,0.12651954545454547,0.11815036545454545,0.1126610409090909,0.24935000636363638,0.09208868181818182
